=== Lista de Audios do Perfect Dark (Total: 548) ===
Formato para substituir/dublar:
  - Nome do arquivo: audio/<NomeDoArquivo>.mp3 (ex: Arecep01M.mp3)
  - Ou por ID decimal: audio/<ID_DEC>.mp3 (ex: 0625.mp3)
  - Ou por ID hexadecimal: audio/<ID_HEX>.mp3 (ex: 0271.mp3)

ID_DEC: 0772 | ID_HEX: 0x0304 | Nome: Aexec08M     | Arquivo: Aexec08M.mp3     | Tamanho: 4848 bytes
ID_DEC: 0773 | ID_HEX: 0x0305 | Nome: Aexec09M     | Arquivo: Aexec09M.mp3     | Tamanho: 4848 bytes
ID_DEC: 0774 | ID_HEX: 0x0306 | Nome: Aexec10M     | Arquivo: Aexec10M.mp3     | Tamanho: 18096 bytes
ID_DEC: 0775 | ID_HEX: 0x0307 | Nome: Aexec11M     | Arquivo: Aexec11M.mp3     | Tamanho: 19424 bytes
ID_DEC: 0776 | ID_HEX: 0x0308 | Nome: Aexec12M     | Arquivo: Aexec12M.mp3     | Tamanho: 6176 bytes
ID_DEC: 0777 | ID_HEX: 0x0309 | Nome: Aexec13M     | Arquivo: Aexec13M.mp3     | Tamanho: 5232 bytes
ID_DEC: 0778 | ID_HEX: 0x030a | Nome: Aexec14M     | Arquivo: Aexec14M.mp3     | Tamanho: 4928 bytes
ID_DEC: 0779 | ID_HEX: 0x030b | Nome: Ahelic01M    | Arquivo: Ahelic01M.mp3    | Tamanho: 6864 bytes
ID_DEC: 0780 | ID_HEX: 0x030c | Nome: Ahelic02M    | Arquivo: Ahelic02M.mp3    | Tamanho: 7488 bytes
ID_DEC: 0781 | ID_HEX: 0x030d | Nome: Ahelic03M    | Arquivo: Ahelic03M.mp3    | Tamanho: 5616 bytes
ID_DEC: 0782 | ID_HEX: 0x030e | Nome: Ahologd01M   | Arquivo: Ahologd01M.mp3   | Tamanho: 4848 bytes
ID_DEC: 0783 | ID_HEX: 0x030f | Nome: AholohopkM   | Arquivo: AholohopkM.mp3   | Tamanho: 4928 bytes
ID_DEC: 0784 | ID_HEX: 0x0310 | Nome: Ainvcar01M   | Arquivo: Ainvcar01M.mp3   | Tamanho: 6560 bytes
ID_DEC: 0785 | ID_HEX: 0x0311 | Nome: Ainvcar02M   | Arquivo: Ainvcar02M.mp3   | Tamanho: 6864 bytes
ID_DEC: 0786 | ID_HEX: 0x0312 | Nome: Ainvcar03M   | Arquivo: Ainvcar03M.mp3   | Tamanho: 6320 bytes
ID_DEC: 0787 | ID_HEX: 0x0313 | Nome: Ainvcar04M   | Arquivo: Ainvcar04M.mp3   | Tamanho: 6864 bytes
ID_DEC: 0788 | ID_HEX: 0x0314 | Nome: Ainvcar05M   | Arquivo: Ainvcar05M.mp3   | Tamanho: 8432 bytes
ID_DEC: 0789 | ID_HEX: 0x0315 | Nome: Ainvcar06M   | Arquivo: Ainvcar06M.mp3   | Tamanho: 8592 bytes
ID_DEC: 0790 | ID_HEX: 0x0316 | Nome: Ainvcar07M   | Arquivo: Ainvcar07M.mp3   | Tamanho: 11552 bytes
ID_DEC: 0791 | ID_HEX: 0x0317 | Nome: Ainvcar08M   | Arquivo: Ainvcar08M.mp3   | Tamanho: 7104 bytes
ID_DEC: 0792 | ID_HEX: 0x0318 | Nome: Ainvcar09M   | Arquivo: Ainvcar09M.mp3   | Tamanho: 8976 bytes
ID_DEC: 0793 | ID_HEX: 0x0319 | Nome: Ainvcar10M   | Arquivo: Ainvcar10M.mp3   | Tamanho: 7104 bytes
ID_DEC: 0794 | ID_HEX: 0x031a | Nome: Ainvcar11M   | Arquivo: Ainvcar11M.mp3   | Tamanho: 7808 bytes
ID_DEC: 0795 | ID_HEX: 0x031b | Nome: Ainvcar12M   | Arquivo: Ainvcar12M.mp3   | Tamanho: 8192 bytes
ID_DEC: 0796 | ID_HEX: 0x031c | Nome: AinvfarrM    | Arquivo: AinvfarrM.mp3    | Tamanho: 4848 bytes
ID_DEC: 0797 | ID_HEX: 0x031d | Nome: AinvfemaM    | Arquivo: AinvfemaM.mp3    | Tamanho: 2032 bytes
ID_DEC: 0798 | ID_HEX: 0x031e | Nome: AinvfostM    | Arquivo: AinvfostM.mp3    | Tamanho: 6320 bytes
ID_DEC: 0799 | ID_HEX: 0x031f | Nome: AinvgrimM    | Arquivo: AinvgrimM.mp3    | Tamanho: 14208 bytes
ID_DEC: 0800 | ID_HEX: 0x0320 | Nome: AinvhopkM    | Arquivo: AinvhopkM.mp3    | Tamanho: 7488 bytes
ID_DEC: 0801 | ID_HEX: 0x0321 | Nome: AinvmaleM    | Arquivo: AinvmaleM.mp3    | Tamanho: 2816 bytes
ID_DEC: 0802 | ID_HEX: 0x0322 | Nome: Ajoexec01M   | Arquivo: Ajoexec01M.mp3   | Tamanho: 9520 bytes
ID_DEC: 0803 | ID_HEX: 0x0323 | Nome: Ajoexec02M   | Arquivo: Ajoexec02M.mp3   | Tamanho: 2816 bytes
ID_DEC: 0804 | ID_HEX: 0x0324 | Nome: Ajosci01M    | Arquivo: Ajosci01M.mp3    | Tamanho: 4928 bytes
